Date,Holiday Name,ACT,NSW,NT,QLD,SA,TAS,VIC,WA
2018-01-01,New Year's Day,1,1,1,1,1,1,1,1
2018-01-26,Australia Day,1,1,1,1,1,1,1,1
2018-03-05,Labour Day,0,0,0,0,0,0,0,1
2018-03-12,Canberra Day,1,0,0,0,0,0,0,0
2018-03-12,March Public Holiday,0,0,0,0,1,0,0,0
2018-03-12,Eight Hours Day,0,0,0,0,0,1,0,0
2018-03-12,Labour Day,0,0,0,0,0,0,1,0
2018-03-30,Good Friday,1,1,1,1,1,1,1,1
2018-03-31,Easter Eve,1,1,1,1,1,0,1,0
2018-04-01,Easter Sunday,1,1,0,0,0,0,1,0
2018-04-02,Easter Monday,1,1,1,1,1,1,1,1
2018-04-25,Anzac Day,1,1,1,1,1,1,1,1
2018-05-07,May Day,0,0,1,0,0,0,0,0
2018-05-07,Labour Day,0,0,0,1,0,0,0,0
2018-05-28,Reconciliation Day,1,0,0,0,0,0,0,0
2018-06-04,Western Australia Day,0,0,0,0,0,0,0,1
2018-06-11,Queen's Birthday,1,1,1,0,1,1,1,0
2018-08-06,Picnic Day,0,0,1,0,0,0,0,0
2018-10-01,Labour Day,1,1,0,0,1,0,0,0
2018-12-25,Christmas Day,1,1,1,1,1,1,1,1
2018-12-26,Boxing Day,1,1,1,1,1,1,1,1
2019-01-01,New Year's Day,1,1,1,1,1,1,1,1
2019-01-28,Australia Day,1,1,1,1,1,1,1,1
2019-03-04,Labour Day,0,0,0,0,0,0,0,1
2019-03-11,Canberra Day,1,0,0,0,0,0,0,0
2019-03-11,March Public Holiday,0,0,0,0,1,0,0,0
2019-03-11,Eight Hours Day,0,0,0,0,0,1,0,0
2019-03-11,Labour Day,0,0,0,0,0,0,1,0
2019-04-19,Good Friday,1,1,1,1,1,1,1,1
2019-04-20,Easter Eve,1,1,1,1,1,0,1,0
2019-04-21,Easter Sunday,1,1,0,0,0,0,1,0
2019-04-22,Easter Monday,1,1,1,1,1,1,1,1
2019-04-25,Anzac Day,1,1,1,1,1,1,1,1
2019-05-06,May Day,0,0,1,0,0,0,0,0
2019-05-06,Labour Day,0,0,0,1,0,0,0,0
2019-05-27,Reconciliation Day,1,0,0,0,0,0,0,0
2019-06-03,Western Australia Day,0,0,0,0,0,0,0,1
2019-06-10,Queen's Birthday,1,1,1,0,1,1,1,0
2019-08-05,Picnic Day,0,0,1,0,0,0,0,0
2019-10-07,Labour Day,1,1,0,0,1,0,0,0
2019-12-25,Christmas Day,1,1,1,1,1,1,1,1
2019-12-26,Boxing Day,1,1,1,1,1,1,1,1
2020-01-01,New Year's Day,1,1,1,1,1,1,1,1
2020-01-27,Australia Day,1,1,1,1,1,1,1,1
2020-03-02,Labour Day,0,0,0,0,0,0,0,1
2020-03-09,Labour Day,0,0,0,0,0,0,1,0
2020-03-09,Eight Hours Day,0,0,0,0,0,1,0,0
2020-03-09,Canberra Day,1,0,0,0,0,0,0,0
2020-03-09,March Public Holiday,0,0,0,0,1,0,0,0
2020-04-10,Good Friday,1,1,1,1,1,1,1,1
2020-04-11,Easter Eve,1,1,1,1,1,0,1,0
2020-04-12,Easter Sunday,1,1,0,0,0,0,1,0
2020-04-13,Easter Monday,1,1,1,1,1,1,1,1
2020-04-25,Anzac Day,1,1,1,1,1,1,1,1
2020-05-04,May Day,0,0,1,0,0,0,0,0
2020-05-04,Labour Day,0,0,0,1,0,0,0,0
2020-06-01,Reconciliation Day,1,0,0,0,0,0,0,0
2020-06-01,Western Australia Day,0,0,0,0,0,0,0,1
